뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910496,"대통령실, 이종섭 출국에 “수사 차질 주장 맞지 않아”",이종섭 신임 주호주 대사의 출국으로 현재 진행 중인 고위공직자범죄수사처(공수처)의 수사에 ...,2024.03.11 (16:58)
http://news.kbs.co.kr/news/view.do?ncd=7910495,"서울대, ‘청소노동자 사망’ 배상 판결 항소 포기…‘8,600만 원 배상 확정’","서울대학교에서 일하던 청소노동자가 과로와 괴롭힘에 시달리다 숨진 사건과 관련해, 서울대가 ...",2024.03.11 (16:56)
http://news.kbs.co.kr/news/view.do?ncd=7910494,이종섭 호주 출국 논란에 법무부 “‘출국금지’ 명분 없어”,해병대 채 모 상병 사건 수사 외압 의혹으로 고위공직자범죄수사처의 수사를 받은 이종섭 주호...,2024.03.11 (16:56)
http://news.kbs.co.kr/news/view.do?ncd=7910492,"[총선] 송영길, 광주 서구갑 ‘옥중 출마’ 선언…손혜원·변희재·최대집 합류",‘전당대회 돈봉투 의혹’으로 구속 수감 중인 송영길 전 더불어민주당 대표가 지난 6일 ‘소...,2024.03.11 (16:52)
http://news.kbs.co.kr/news/view.do?ncd=7910491,"공약부터 검증까지…카카오, ‘다음’에 총선 특집 페이지 개설",카카오는 다음 달 10일 치러지는 제22대 국회의원 총선거를 앞두고 포털 다음(Daum)에...,2024.03.11 (16:51)
http://news.kbs.co.kr/news/view.do?ncd=7910489,[사사건건 플러스] ‘금사과’ 언제까지?,,2024.03.11 (16:45)
http://news.kbs.co.kr/news/view.do?ncd=7910488,“중국 양회 폐막 직전 시진핑 관저 향해 차량 돌진”,중국의 최대 정치행사인 양회(전국인민대표대회와 전국인민정치협상회의) 폐막을 앞두고 시진핑 ...,2024.03.11 (16:41)
http://news.kbs.co.kr/news/view.do?ncd=7910487,"[총선] 이재명, 임종석에 공동선대위원장 제안…“함께하는 길 고민해주시길”",더불어민주당 이재명 대표는 오늘(11일) 임종석 전 대통령 비서실장을 향해 “정권 심판과 ...,2024.03.11 (16:40)
http://news.kbs.co.kr/news/view.do?ncd=7910486,경기 용인서 전봇대 쓰러져 정전…50분 만에 복구,오늘(11일) 오후 3시쯤 경기 용인시 처인구의 공장 지대에서 전봇대가 쓰러지면서 정전이 ...,2024.03.11 (16:37)
http://news.kbs.co.kr/news/view.do?ncd=7910485,"경기교육청, 학교 방문 예약시스템 시범운영…상담 챗봇도",경기도교육청은 교육활동 보호 강화 대책의 일환으로 학교 방문 사전 예약시스템을 일부 학교에...,2024.03.11 (16:37)
http://news.kbs.co.kr/news/view.do?ncd=7910484,"‘RE100’ 관련 기업 지원…경기도, 1,267억 금융 지원",경기도는 ‘경기RE100’ 달성을 위해 올해 신재생에너지산업 관련 기업에 1천267억 원 ...,2024.03.11 (16:37)
http://news.kbs.co.kr/news/view.do?ncd=7910483,"우크라전 영향 미국 무기수출 17%↑, 한국도 12% 늘어…러는 반토막",최근 5년간 유럽의 무기 수입이 2배 증가한 것으로 나타났습니다. 같은 기간 미국과 프랑스...,2024.03.11 (16:36)
http://news.kbs.co.kr/news/view.do?ncd=7910482,전동차에서 종이에 불을?…두려움에 떤 승객들 “하마터면”,"     ""전동차 내에서 한 승객이 종이에 불을 붙이고 있어요.""주말인 지난 9일  토요일...",2024.03.11 (16:35)
http://news.kbs.co.kr/news/view.do?ncd=7910481,“학교 급식실은 ‘산재 백화점’이라 불려요”…‘개선’ 약속한 뒤 예산만 쏙? [취재후],"두 살 터울의 초등학생 남매를 자녀로 둔 정 씨,  20여년 전 자녀가 다니는 학교 선생님...",2024.03.11 (16:32)
http://news.kbs.co.kr/news/view.do?ncd=7910479,경기 부천 종교시설서 불…40대 여성 연기 흡입,어제 오후 4시 40분쯤 경기 부천에 있는 한 종교시설에서 불이 나 30여 분만에 꺼졌습니...,2024.03.11 (16:29)
http://news.kbs.co.kr/news/view.do?ncd=7910478,"군인권센터, ‘인권위원 감금 수사’ 유엔에 진정…“군 사망자 유족 탄압”",국가인권위원회를 항의 방문했다가 감금 등 혐의로 입건된 군 사망자 유족들에게 경찰이 소환조...,2024.03.11 (16:29)
http://news.kbs.co.kr/news/view.do?ncd=7910477,서울시 “기후동행카드로 서울대공원·서울식물원 무료 입장까지”,서울시가 무제한 대중교통 통합 정기권인 기후동행카드와 연계해 문화·여가시설 입장료를 면제하...,2024.03.11 (16:22)
http://news.kbs.co.kr/news/view.do?ncd=7910475,"우리 정부, 후쿠시마 5차 방류 교차검증 참여…“앞으로도 참여할 것”",정부는 국제원자력기구(IAEA)가 일본 후쿠시마 제1원자력발전소 오염수 5차 방류의 샘플을...,2024.03.11 (16:20)
http://news.kbs.co.kr/news/view.do?ncd=7910474,국방부 “군의관 추가 파견 요청하면 가용범위 내 지원”,국방부는 전공의 집단행동과 관련해 중앙재난안전대책본부(중대본)에서 군의관 추가 파견을 요청...,2024.03.11 (16:19)
http://news.kbs.co.kr/news/view.do?ncd=7910473,중증질환연합회 “정부·의료계 ‘강대강’ 대치…전적으로 ‘환자’가 피해”,중증질환 환자 단체가 정부와 의료계의 강대강 대치로 피해를 보는 것은 전적으로 환자들이라며...,2024.03.11 (16:19)
http://news.kbs.co.kr/news/view.do?ncd=7910470,미국 최대 영화 축제서 나발니 추모…다큐상엔 ‘마리우폴에서의 20일’,미국 영화계의 최대 축제인 아카데미(오스카) 시상식이 지난달 사망한 러시아의 야권 운동가 ...,2024.03.11 (16:15)
http://news.kbs.co.kr/news/view.do?ncd=7910468,[총선] 선관위 “선거 보안 취약점 대부분 조치…미비점 있으면 개선”,중앙선거관리위원회는 4월 총선을 앞두고 지난해 보안 점검에서 지적된 취약점에 대한 개선 조...,2024.03.11 (16:13)
http://news.kbs.co.kr/news/view.do?ncd=7910467,"이종섭, 신임장 원본 없이 출국…“다음달 귀국해 수여식 참석할 듯”",'해병대 채상병 사건 수사 외압 의혹'으로 수사를 받던 중 주호주 대사로 임명돼 출국한 이...,2024.03.11 (16:11)
http://news.kbs.co.kr/news/view.do?ncd=7910464,[사사건건] 총선 D-30…여야 ‘말실수 주의보’,,2024.03.11 (16:04)
http://news.kbs.co.kr/news/view.do?ncd=7910463,[사사건건] 오늘의 주요 뉴스,,2024.03.11 (16:01)
http://news.kbs.co.kr/news/view.do?ncd=7910462,[총선] 더불어민주연합 ‘비례 1번’ 전지예…민주 지도부 “심각한 우려”,더불어민주당 지도부는 야권 비례대표 위성정당인 더불어민주연합에서 시민사회 몫의 국민 후보로...,2024.03.11 (15:59)
http://news.kbs.co.kr/news/view.do?ncd=7910461,서울 강남구 기계식 주차장에서 작업하던 외국인 근로자 숨져,어제(10일) 오전 9시 50분쯤 서울 강남구 역삼동의 한 기계식 주차장 건물에서 작업하던...,2024.03.11 (15:57)
http://news.kbs.co.kr/news/view.do?ncd=7910460,"코스피, 사흘만에 하락 2,660선 내줘…코스닥은 올라","코스피가 하락 마감하면서 2,660선을 내줬습니다. 오늘(11일) 코스피 지수는 지난주보다...",2024.03.11 (15:53)
http://news.kbs.co.kr/news/view.do?ncd=7910458,"일본 닛케이지수, 하루 2.2% 급락…다시 거품경제 최고치 아래로",일본 증시의 대표 주가지수인 닛케이225 평균주가(닛케이지수)가 11일 급락하면서 다시 버...,2024.03.11 (15:49)
http://news.kbs.co.kr/news/view.do?ncd=7910457,[총선] 김부겸 “당 승리위해 선대위 합류…친명·친문 이런 말 버리자”,김부겸 전 국무총리는 “더불어민주당의 총선 승리를 위해 서거대책위원회에 합류하기로 결정했다...,2024.03.11 (15:46)
http://news.kbs.co.kr/news/view.do?ncd=7910456,양안 긴장 속 타이완 국방장관 전쟁지휘소서 주말에도 대기,중국과 타이완 간 긴장이 고조되는 가운데 타이완 국방부장(장관)이 중국 침공에 대비해 전시...,2024.03.11 (15:46)
http://news.kbs.co.kr/news/view.do?ncd=7910455,‘무법천지’ 아이티에 교민 70여 명…“접수된 피해 없어”,갱단 폭동으로 최악의 치안 상황을 맞은 카리브해 섬나라 아이티에 우리 교민 70여 명이 거...,2024.03.11 (15:45)
http://news.kbs.co.kr/news/view.do?ncd=7910453,20대 남성 교통사고로 숨져…운전자 구속영장 신청,"술에 취해 운전하다, 도로 위에 쓰러져 있던 20대 남성을 친 운전자에 대해 경찰이 구속영...",2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910452,중국 우크라 특사 “긴장격화 반대…적절한 때 평화회의 지지”,중국은 우크라이나 전쟁의 추가 격화가 국제사회에 도움이 되지 않으며 적절한 때에 평화회의가...,2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910451,"해외체류 국민, 한국 휴대전화 없어도 디지털서비스 이용 가능",이르면 올해 하반기부터 해외에 체류하는 국민이 한국 휴대전화 없이도 정부의 디지털 서비스를...,2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910450,"교육부 “사교육 업체 유착 교원, 강력한 징계 요구할 것”","사교육 업체와 유착한 교원과 학원 관계자 등에 대한 감사원의 수사 요청과 관련해, 교육부는...",2024.03.11 (15:30)
http://news.kbs.co.kr/news/view.do?ncd=7910449,조용병 은행연합회장 “‘은행은 안전하다’는 국민 신뢰 부응해야”,조용병 은행연합회장은 “올 한해 은행 산업이 수익성은 떨어지고 리스크는 증가하는 어려운 한...,2024.03.11 (15:27)
http://news.kbs.co.kr/news/view.do?ncd=7910446,"‘모의고사 판박이 수능 영어 23번’ 왜 나왔고, 어떻게 뭉갰나","감사원이 현직 고교 교사와 사교육업체 관계자 등 56명을 청탁금지법 위반, 업무방해 등의 ...",2024.03.11 (15:23)
http://news.kbs.co.kr/news/view.do?ncd=7910445,감사보고서 제출 시기 도래…거래소 “한계기업 투자 유의”,2023년 사업연도 12월 결산법인의 감사보고서 제출 시한이 다가오는 가운데 한국거래소가 ...,2024.03.11 (15:20)
http://news.kbs.co.kr/news/view.do?ncd=7910444,"[총선] 민주, 내일 총선선대위 출범…‘이재명·이해찬·김부겸’ 3톱 체제","더불어민주당이 4월 총선을 이재명 대표와 이해찬 전 대표, 김부겸 전 국무총리 '3톱 체제...",2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910443,"‘검정고무신’ 작가 기일인 3월 11일, ‘만화·웹툰 저작권의 날’로",인기 만화 ‘검정고무신’을 그린 고 이우영 작가의 기일인 3월 11일이 만화·웹툰 단체들이...,2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910442,"정부, 세계 최대 콘텐츠 축제에 국내 메타버스 기업 참가 지원",과학기술정보통신부는 미국 텍사스주 오스틴에서 열리는 세계 최대 종합 콘텐츠 축제 '사우스 ...,2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910441,"대한상의, ‘부산 소재 대형마트 의무 휴업, 평일 전환 추진’ 환영",정부와 부산시 등이 최근 부산지역 대형마트 의무휴업일을 평일로 전환하겠다는 계획을 발표한 ...,2024.03.11 (15:15)
http://news.kbs.co.kr/news/view.do?ncd=7910440,"고용부, ‘안실단’ 사례집 발간 “대국민 안전문화 확산”",‘안전문화 실천추진단’(이하 안실단)의 다양한 안전문화 확산 활동이 담긴 사례집이 발간됐습...,2024.03.11 (15:15)
http://news.kbs.co.kr/news/view.do?ncd=7910439,“가자 지구 임신부 6만 명 영양실조·탈수 등 고통”,이스라엘과 하마스가 전쟁을 벌이는 팔레스타인 가자 지구에서 많은 임신부가 영양실조 등으로 ...,2024.03.11 (15:14)
